,,,,,Estimated Effort Remaining,,,,,,,,,,,,,,,,,,
,,4. Cache profilo utente con Room.,Federico,1,2,2,2,2,,,,,,,,,,,,,,,DONE
,,5. Gestione state-machine dell'app offline/online.,Giacomo,2,2,2,2,2,,,,,,,,,,,,,,,DONE
,,6. Testing,Giacomo,1,1,1,1,1,,,,,,,,,,,,,,,DONE
,,7. Documentazione,Federico,1,1,1,1,1,,,,,,,,,,,,,,,DONE
,,8. Deploy,Federico,1,1,1,1,1,,,,,,,,,,,,,,,DONE
34,Come sistema voglio che le query vengano elaborate velocemente così da garantire un'esperienza utente fluida,1. Creazione indici spaziali MongoDB (sessions/locations).,Marco,0,,,,,,,,,,,,,,,,,,,DONE
,,2. Ottimizzazione query delle coordinate.,Marco,4,4,4,4,4,4,4,3,2,,,,,,,,,,,DONE
,,3. Local hosting KML sentieri e utilites,Marco,1,1,1,1,1,1,1,1,2,,,,,,,,,,,DONE
,,4. Load testing e profiling DB.,Giacomo,3,3,3,3,3,3,3,3,3,2,2,1,1,,,,,,,DONE
,,5. Testing,Giacomo,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,DONE
,,6. Documentazione,Giacomo,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,DONE
,,7. Deploy,Giacomo,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,DONE
22,"Come Capogruppo, voglio ricevere i segnali SOS dei partecipanti e poterli validare tramite la mia dashboard, così da attivare i soccorsi solo in caso di reale necessità.","1. Modello Emergency con stati: ACTIVE, SHARED_WITH_GROUP, DISMISSED, CANCELLED_BY_SENDER",Federico,2,2,2,2,2,2,1,,,,,,,,,,,,,DONE
,,2. Endpoint GET/PATCH /api/v1/sessions/:id/emergencies.,Federico,3,3,3,3,3,3,2,,,,,,,,,,,,,DONE
,,"3. UI Registra: icona SOS, lista, dettaglio, annulla/condividi con gli altri utenti della sessione.",Federico,3,3,3,3,3,3,2,1,,,,,,,,,,,,DONE
,,4. Notifica capogruppo nuovo SOS (polling 8s).,Federico,2,2,2,2,2,2,1,,,,,,,,,,,,,DONE
,,5. Testing,Federico,1,1,1,1,1,1,1,1,,,,,,,,,,,,DONE
,,6. Documentazione,Federico,1,1,1,1,1,1,1,1,,,,,,,,,,,,DONE
,,7. Deploy,Federico,1,1,1,1,1,1,1,1,,,,,,,,,,,,DONE
20,"Come Capogruppo, voglio poter visualizzare la posizione GPS di tutti i partecipanti in tempo reale sulla mappa, così da monitorare la coesione del gruppo. Il tutto deve avere un'interfaccia pulita e intuitiva.",1. Endpoint GET /api/v1/sessions/:id/positions (ultime coordinate).,Federico,2,2,2,2,2,2,2,1,,,,,,,,,,,,DONE
,,2. Integrazione Socket.io server + client Android.,Marco,4,3,3,3,3,3,3,2,,,,,,,,,,,,DONE
,,3. Overlay marker partecipanti su mappa Registra.,Marco,3,3,3,3,3,3,3,2,,,,,,,,,,,,DONE
,,5. Throttle refresh per risparmio batteria.,Federico,2,2,2,2,2,2,2,2,,,,,,,,,,,,DONE
,,6. Testing,Federico,1,1,1,1,1,1,1,1,1,,,,,,,,,,,DONE
,,7. Documentazione,Federico,1,1,1,1,1,1,1,1,1,,,,,,,,,,,DONE
,,8. Deploy,Federico,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,DONE
21,"Come Capogruppo, voglio poter ricevere un allarme dai componenti del gruppo(online e beacon BLE) cosi da gestire le emergenze e coordinare la risposta.",1. Notifica locale SOS con Poll 8s,Federico,2,2,2,2,2,2,1,,,,,,,,,,,,,DONE
,,2. Invio payload SOS con coordinate.,Federico,2,2,2,2,2,2,1,,,,,,,,,,,,,DONE
,,"3. BLE beacon advertising post-SOS (identificativo utente/sessione, stile AirTag).",Federico,4,4,4,4,4,4,2,,,,,,,,,,,,,DONE
,,4. Scanner BLE capogruppo per localizzazione prossimità utente SOS.,Federico,3,3,3,3,3,3,3,2,,,,,,,,,,,,DONE
,,5. UI capogruppo: allerta emergenza + indicazione distanza stimata (RSSI).,Federico,2,2,2,2,2,2,2,1,,,,,,,,,,,,DONE
,,6. Condivisione con gruppo dell'emergenza da parte del capogruppo,Federico,2,2,2,2,2,2,2,1,,,,,,,,,,,,DONE
,,7. Revoca condivisione con gruppo,Federico,1,1,1,1,1,1,1,1,,,,,,,,,,,,DONE
,,8. No scanner se beaconActive==false,Federico,1,1,1,1,1,1,1,1,,,,,,,,,,,,DONE
,,9. Testing,Federico,1,1,1,1,1,1,1,1,,,,,,,,,,,,DONE
,,10. Documentazione,Federico,1,1,1,1,1,1,1,1,,,,,,,,,,,,DONE
,,11. Deploy,Federico,1,1,1,1,1,1,1,1,,,,,,,,,,,,DONE
14,"Come escursionista, voglio vedere la posizione degli altri membri del gruppo sulla mappa, così da sapere dove si trovano rispetto a me, con un'implementazione efficiente ed efficace anche a livello energetico.",1. API posizioni membri gruppo (riuso telemetria batch).,Marco,2,2,2,2,2,2,2,2,2,,,,,,,,,,,DONE
,,2. Marker multipli + refresh efficiente su OSMdroid.,Federico,3,3,3,3,3,3,3,3,3,,,,,,,,,,,DONE
,,3. Interval adattivo GPS/rete per risparmio energetico.,Federico,2,2,2,2,2,2,2,2,2,,,,,,,,,,,DONE
